date,state,district,pincode,demo_age_5_17,demo_age_17_
01-03-2025,Uttar Pradesh,Gorakhpur,273213,49,529
01-03-2025,Andhra Pradesh,Chittoor,517132,22,375
01-03-2025,Gujarat,Rajkot,360006,65,765
01-03-2025,Andhra Pradesh,Srikakulam,532484,24,314
01-03-2025,Rajasthan,Udaipur,313801,45,785
01-03-2025,Rajasthan,Sikar,332028,28,285
01-03-2025,Karnataka,Tumakuru,572201,88,332
01-03-2025,Uttar Pradesh,Gorakhpur,273211,61,836
01-03-2025,Andhra Pradesh,Kurnool,518313,83,986
01-03-2025,West Bengal,Paschim Medinipur,721148,13,281
01-03-2025,Uttar Pradesh,Ghazipur,233226,134,1591
01-03-2025,Gujarat,Patan,385360,117,719
01-03-2025,Telangana,Mulugu,506172,24,281
01-03-2025,Rajasthan,Ganganagar,335027,25,545
01-03-2025,Odisha,Nayagarh,752081,48,295
01-03-2025,Maharashtra,Nashik,422305,13,227
01-03-2025,Karnataka,Shivamogga,577425,11,30
01-03-2025,Kerala,Thrissur,680305,11,72
01-03-2025,Karnataka,Hassan,573144,23,53
01-03-2025,Bihar,Patna,804423,16,97
01-03-2025,Karnataka,Belgaum,591118,27,56
01-03-2025,Tamil Nadu,Kancheepuram,603202,42,700
01-03-2025,Madhya Pradesh,Jabalpur,483119,132,1228
01-03-2025,Tamil Nadu,Chennai,600006,16,128
01-03-2025,Assam,Tinsukia,786174,22,416
01-03-2025,Bihar,Jamui,811313,61,579
01-03-2025,Bihar,Gaya,823003,301,2485
01-03-2025,Karnataka,Bengaluru,560072,92,438
01-03-2025,Tamil Nadu,Tiruppur,641606,54,639
01-03-2025,Maharashtra,Jalgaon,425310,30,685
01-03-2025,Tripura,Dhalai,799285,18,517
01-03-2025,Odisha,Nabarangapur,764077,37,465
01-03-2025,Rajasthan,Chittorgarh,312023,274,2259
01-03-2025,Bihar,Darbhanga,847103,128,1525
01-03-2025,Bihar,Purnia,854317,27,453
01-03-2025,Uttar Pradesh,Muzaffarnagar,247775,22,222
01-03-2025,Rajasthan,Jaipur,303701,54,346
01-03-2025,Rajasthan,Churu,331301,22,700
01-03-2025,Rajasthan,Bharatpur,321406,19,414
01-03-2025,Gujarat,Jamnagar,361120,42,313
01-03-2025,West Bengal,Howrah,711303,118,1909
01-03-2025,Gujarat,Ahmedabad,382110,147,1065
